"ISO3V10","Country","EPI_regions","Landlock","NoFor","NoEle","GDPCAP","GDPgroup","POP","EPI","EH","EV","eh.eh","ev.water","eh.water","ev.cc","eh.air","ev.air","ev.forest","ev.fish","ev.ag","ev.bh","ACSATINV","CHMORT","INDOOR","PM25","WATSUPINV","AGSUB","AZE","CO2CAP","CO2GDP","CO2KWH","FORCOVINV","FORGROINV","FORLOSS","FSOC","MPAEEZ","PACOV","POPs","RENEW","SO2CAP","SO2GDP","TCEEZ","WATUSEINV","EPI_trend","EH_trend","EV_trend","EH_EH_trend","EV_Water_trend","EH_Water_trend","EV_CC_trend","EH_Air_trend","EV_Air_trend","EV_Forest_trend","EV_Fish_trend","EV_Ag_trend","EV_BH_trend","ACSATINV_trend","CHMORT_trend","INDOOR_trend","PM25_trend","WATSUPINV_trend","AGSUB_trend","AZE_trend","CO2CAP_trend","CO2GDP_trend","CO2KWH_trend","FORLOSS_trend","FORGROINV_trend","FORCOVINV_trend","FSOC_trend","MPAEEZ_trend","PACOV_trend","POPs_trend","RENEW_trend","SO2CAP_trend","SO2GDP_trend","TCEEZ_trend","WATUSEINV_trend"
"TUN","Tunisia","Middle East and North Africa",0,0,0,7703.781656,"Middle",10549100,46.66,70.14,36.6,66.4,8.92,47.76,50.41,100,27.22,67.32,22.79,66.67,25.66,39.92,66.4,100,100,55.59,100,NA,82.84,57.49,7.49,100,49.9,52.07,31.31,69.72,7.41,0,1.12,28.29,26.16,14.26,8.92,6.93,20.69,-4.33,18.52,-45.54,20.71,4.41,25,11.22,-16.34,2.6,0,0,15.42,18.52,50,0,26,0,NA,-14.06,25,3.99,-23.96,-25.05,0,-17.02,0,0,0,-0.12,7.64,14.8,22.22,-45.54
"TUR","Turkey","Eastern Europe and Central Asia",0,0,0,12539.65501,"Middle",72752325,44.8,69.8,34.08,74.13,9.97,66.11,42.71,64.82,30.65,91.54,25.03,42.83,20.19,48.04,74.13,31.83,97.8,84.18,16.52,11.19,61.85,47.82,9.25,100,100,74.61,40.15,76.29,11.12,95.45,19.58,26.32,34.97,9.9,9.97,11.08,35.66,-9.04,48.51,-45.01,34.06,-21.4,11.56,15.25,-4.23,8.45,-3.83,0,18.12,48.51,0,23.13,50,-5.75,0,-50,2.87,-3.88,-12.69,0,0,32.17,0,0,0,-28.81,10.65,19.86,-15.28,-45.01
"TUV","Tuvalu","East Asia and the Pacific",0,1,0,1668,"Lower",9827,NA,NA,NA,NA,NA,67.54,NA,20.02,NA,100,50,0,26.47,35.09,NA,20.02,NA,100,NA,NA,NA,NA,NA,100,NA,NA,0,26.48,0.35,0,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,18.95,NA,4.62,NA,0,0,0,0,-12.09,NA,4.62,NA,50,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA
"TWN","Taiwan","East Asia and the Pacific",0,0,0,29820.8,"Upper",23024960,62.23,95.03,48.17,90.06,33.01,100,23.73,100,50.85,100,26.32,36.8,72.65,100,90.06,100,NA,100,12.02,NA,21.37,42,7.45,100,100,100,29.27,73.27,67.65,86.36,2.87,37.99,63.72,23.38,33.01,8.25,12.31,4.93,24.63,-33.5,0,-7.83,0,22.43,0,-20.71,9.3,36.9,0,24.63,0,NA,0,3.54,NA,-36.01,14.14,-1.57,0,0,0,-44.45,41.54,0,20.83,0.37,14.49,30.37,3.02,-33.5
"TZA","Tanzania","Sub-Saharan Africa",0,0,1,1285.616609,"Lower",44841226,54.26,27.47,65.74,25.32,39.95,9.01,69.35,50.22,63.75,51.04,31.3,66.67,92.08,5.88,25.32,0.44,100,12.14,100,78.9,100,61.42,16.35,15.81,70.48,66.83,18.5,81.89,99.82,0,60.16,76.46,51.04,44.1,39.95,1.93,16.38,-9.89,32.89,-30.02,0,-20.04,-0.25,-3.47,-24.48,-21.07,0,12.42,0,32.89,-0.5,0,0,0,47.36,0,-27.24,-50,-16.59,-14.76,-42.1,-47.84,0.01,0.95,0,-50,-8.32,1.38,5.71,-30.02
"UGA","Uganda","Sub-Saharan Africa",1,0,0,1141.393771,"Lower",33424683,NA,25.64,NA,18.25,44.19,16.75,NA,49.34,NA,26.55,NA,49.01,76.59,13.97,18.25,0.59,98.08,19.53,73.52,98.25,NA,NA,NA,0,0,79.65,NA,NA,65.76,0,NA,NA,NA,NA,44.19,NA,21.7,NA,25.52,-27.91,10.68,NA,25.07,NA,-36.73,NA,-1.41,13.05,5.34,25.52,0.14,50,16.01,-2.11,0,NA,NA,NA,-10.18,-50,-50,NA,NA,19.58,0,NA,NA,NA,NA,-27.91
"UKR","Ukraine","Eastern Europe and Central Asia",0,0,0,6017.081958,"Middle",45870700,46.31,72.01,35.3,75.41,18.04,68.05,25.14,69.15,18.82,88.94,19.43,45.23,46.42,61.18,75.41,38.3,100,74.93,36.03,99.96,45.68,17.33,13.7,100,100,66.83,6.3,82.09,20.35,63.64,6.85,21.85,15.79,32.55,18.04,3.19,11.17,-3.33,18.78,-40.98,8.28,21.33,-1.15,10.95,-5.53,-20.42,-33.33,0.11,0,18.78,-2.29,0,16.55,-50,0,12.91,50,-5.51,-16.59,0,0,-17.62,0,0.17,0,0.91,1.18,20.71,-23.22,-40.98
"URY","Uruguay","Latin America and Caribbean",0,0,0,12902.74145,"Middle",3356584,57.06,80.34,47.07,74.13,41.42,100,62.1,73.12,51.38,75.94,23.9,78.79,20.26,100,74.13,46.25,100,100,100,NA,77.44,63.58,16.29,100,100,27.81,40.5,50.65,1.47,36.36,68.69,47.22,55.53,7.31,41.42,-0.67,11.89,-10.94,4.12,-29.29,50,-37.25,-10.67,12.89,-12.03,1.9,0,5.06,50,4.12,-21.34,0,50,0,NA,-50,-13.57,-50,-36.1,0,0,8.11,12.98,0.17,0,-50,12.39,13.4,-4.3,-29.29
"USA","United States of America","North America",0,0,0,42642.17831,"Upper",309050816,56.59,94.47,40.36,92.89,12.59,92.09,17.73,100,30.4,79.04,17.18,55.17,71.76,100,92.89,100,100,84.18,37.31,61.11,5.38,37.78,7.2,100,100,37.12,20.36,100,49.35,90.91,10.29,14.51,46.3,14,12.59,3.61,3.46,3.73,6.91,-43.7,0,25.94,0,10.07,-10.48,3.89,23.3,0.24,0,6.91,0,0,0,34.95,0,42.99,21.41,12.73,-31.44,0,0,5.9,0.62,0,0,9.95,9.08,11.06,1.88,-43.7
"UZB","Uzbekistan","Eastern Europe and Central Asia",1,1,0,2792.872333,"Middle",28160361.37,32.24,52.74,23.45,50.7,7.36,69.89,24.08,39.7,30.59,84.04,NA,66.67,12.88,100,50.7,26.34,53.06,39.78,100,NA,57.27,0,8.17,68.09,100,NA,NA,NA,12.88,0,18.7,41.78,19.4,NA,7.36,4.73,8.1,1.98,5.99,-46.32,20.05,23.1,0.37,13.3,-7.98,NA,0,0,50,5.99,0.75,-0.01,-9.9,0,NA,50,0,4.76,NA,0,-15.96,NA,NA,0,0,32.57,8.55,18.06,NA,-46.32
