"pointspread" "score1" "score2" "scorediff" "loc"
4.5 70 65 -5 "H"
-1 49 58 9 "H"
-4 54 41 -13 "H"
-10.5 57 42 -15 "H"
12 53 64 11 "H"
10 84 87 3 "V3"
-3 53 56 3 "V"
13.5 57 75 18 "V"
2.5 67 73 6 "V"
-8 46 44 -2 "H"
3 60 63 3 "V"
5.5 65 68 3 "V"
1.5 70 55 -15 "H"
4.5 62 75 13 "V"
8.5 55 68 13 "H"
-5.5 70 59 -11 "H"
-2.5 57 41 -16 "V"
13.5 63 72 9 "V"
-1.5 70 60 -10 "H"
14 50 67 17 "V"
-1 75 88 13 "V"
-6.5 52 44 -8 "H"
5 65 78 13 "H"
8 61 69 8 "V"
-2.5 76 65 -11 "H"
-7 52 63 11 "H"
-14 76 53 -23 "H"
1.5 79 72 -7 "V"
6.5 63 82 19 "V"
-13 80 57 -23 "H"
-3.5 82 65 -17 "V"
12 66 74 8 "H"
-6.5 72 68 -4 "H"
-11.5 62 43 -19 "H"
1.5 65 66 1 "N1"
-7.5 55 57 2 "N"
-7.5 67 57 -10 "H"
1.5 66 60 -6 "V"
4 63 69 6 "H"
4.5 53 68 15 "V"
7 53 84 31 "V"
-5.5 69 66 -3 "H"
-8 69 66 -3 "H"
7.5 56 66 10 "V"
15 39 73 34 "V"
4 83 77 -6 "H"
17.5 58 75 17 "V"
-1 76 70 -6 "H"
3.5 65 68 3 "H"
11.5 59 79 20 "V"
2.5 80 68 -12 "H"
4.5 84 92 8 "V1"
1 63 62 -1 "V"
6.5 62 80 18 "H"
2.5 56 64 8 "V"
2 66 81 15 "N"
1 75 69 -6 "H"
-2.5 77 72 -5 "H"
11 77 90 13 "V"
22.5 57 84 27 "V"
14 42 63 21 "V"
12 69 68 -1 "H"
8.5 47 59 12 "V"
5.5 75 74 -1 "H1"
1 65 51 -14 "H"
6.5 64 76 12 "V1"
1.5 62 50 -12 "V"
11.5 82 89 7 "V2"
12.5 46 63 17 "V"
2 48 71 23 "V"
4 58 55 -3 "H"
-2.5 66 69 3 "H"
6 47 65 18 "H"
-7.5 59 50 -9 "H"
4.5 84 65 -19 "V"
7.5 61 58 -3 "V"
-5 64 66 2 "H"
7.5 80 67 -13 "H"
-1.5 53 57 4 "H"
13 68 95 27 "V"
8.5 56 50 -6 "V"
-5.5 58 67 9 "N"
-5.5 59 63 4 "N"
4.5 64 71 7 "V"
7.5 39 54 15 "H"
9.5 79 82 3 "V"
5.5 72 52 -20 "V"
-4 77 67 -10 "H"
8.5 54 65 11 "VN"
3.5 57 63 6 "V"
14.5 68 86 18 "V"
-7 57 58 1 "H"
-2.5 68 80 12 "H"
-5.5 68 65 -3 "H"
-1 66 63 -3 "V"
13.5 64 68 4 "V"
-7 91 73 -18 "H"
5.5 60 71 11 "V"
-2 46 65 19 "V"
-10.5 59 54 -5 "H"
-4.5 75 60 -15 "H"
1.5 79 71 -8 "V"
-4 64 65 1 "H"
6.5 81 83 2 "V1"
6.5 81 67 -14 "H"
4.5 69 72 3 "H"
2.5 65 76 11 "V"
-8 74 72 -2 "H1"
-3 76 61 -15 "N"
