"pointspread" "score1" "score2" "scorediff" "loc"
5.5 67 79 12 "H"
-4.5 82 59 -23 "H"
5.5 63 64 1 "N"
-10.5 80 69 -11 "H"
12.5 51 63 12 "V"
-12 100 72 -28 "H"
5.5 86 84 -2 "V1"
-8 77 65 -12 "N"
-2.5 69 72 3 "N1"
12.5 66 69 3 "V"
-8.5 67 81 14 "H"
-15 85 63 -22 "H"
4 74 73 -1 "V"
-25 83 57 -26 "H"
-5 75 77 2 "V"
1.5 72 79 7 "H"
-8.5 60 70 10 "H"
-9.5 55 62 7 "V"
-11.5 77 82 5 "H"
8 62 74 12 "V"
-2.5 70 56 -14 "V"
-8 60 58 -2 "H"
-7 67 62 -5 "H"
-4 77 83 6 "V"
-10.5 83 47 -36 "H"
-3 94 86 -8 "V"
9 75 72 -3 "V"
-11.5 79 59 -20 "H"
-2.5 67 68 1 "H"
-1 62 79 17 "V"
1 71 80 9 "V"
-13 86 50 -36 "H"
3.5 72 80 8 "V"
-1 73 65 -8 "N"
2.5 51 66 15 "N"
-32.5 97 54 -43 "H"
-20.5 87 61 -26 "H"
-30.5 99 45 -54 "H"
-21 66 53 -13 "N"
-9 82 72 -10 "N1"
-27.5 101 53 -48 "H"
-10 83 59 -24 "H"
-11 86 88 2 "N1"
-31 93 54 -39 "H"
-32.5 88 52 -36 "H"
-36.5 93 59 -34 "H"
-7 69 65 -4 "V"
-16 74 51 -23 "V"
-7.5 88 81 -7 "H"
-10.5 59 64 5 "H"
-12 67 59 -8 "V"
-24.5 72 49 -23 "H"
-9.5 75 70 -5 "H"
-7.5 97 60 -37 "V"
-5.5 81 73 -8 "H"
-7 72 74 2 "V"
1.5 81 68 -13 "V"
-23 76 47 -29 "H"
-19 83 55 -28 "H"
1.5 72 68 -4 "V"
-5 73 77 4 "V"
-14 73 60 -13 "H"
-7.5 58 67 9 "H"
1.5 72 71 -1 "V"
-10 80 64 -16 "N"
-6 56 68 12 "N"
-21.5 83 62 -21 "N"
-12 58 52 -6 "N"
-5 50 61 11 "N"
14.5 59 86 27 "V"
2.5 68 48 -20 "V"
6.5 68 77 9 "H1"
2 63 71 8 "V"
-5.5 75 61 -14 "V"
9 87 85 -2 "N1"
10 55 62 7 "N"
8 57 55 -2 "N1"
5 77 75 -2 "H"
7 65 61 -4 "V"
14.5 66 79 13 "V"
-4.5 68 53 -15 "H"
1 71 76 5 "V"
-10.5 68 60 -8 "H"
-3.5 72 62 -10 "H"
8 58 60 2 "V"
1 59 58 -1 "H"
12 68 55 -13 "V"
-1.5 71 74 3 "V1"
5 76 57 -19 "H"
-10.5 66 65 -1 "H"
-4.5 65 67 2 "V"
-2.5 68 80 12 "V"
3.5 62 66 4 "H"
-5.5 65 64 -1 "H"
-7.5 56 67 11 "H"
6 68 84 16 "V"
2 51 50 -1 "N"
8.5 43 64 21 "N"
11 52 68 16 "V"
-21.5 73 61 -12 "H"
-7 63 55 -8 "N"
3 63 75 12 "N"
2 79 95 16 "V"
-20.5 87 63 -24 "H"
-3 80 71 -9 "H"
-3.5 80 73 -7 "N"
-27.5 90 46 -44 "H"
-21 80 50 -30 "H"
7 65 69 4 "H"
13.5 67 95 28 "V"
2 59 62 3 "H"
1 70 50 -20 "V"
1 70 66 -4 "H"
10.5 63 72 9 "V"
2 62 65 3 "V1"
-13 76 67 -9 "H"
10 59 62 3 "V"
8.5 70 74 4 "V2"
-8 71 57 -14 "H"
-8 74 72 -2 "V"
1 72 51 -21 "H"
-6 60 64 4 "V"
-9 58 48 -10 "H"
14 60 73 13 "V"
-4.5 63 55 -8 "H"
-13 74 60 -14 "H"
-9.5 73 59 -14 "N"
5.5 56 59 3 "N"
-11 68 52 -16 "H"
-8.5 75 63 -12 "H"
-3 71 60 -11 "N"
-2.5 54 74 20 "N"
4.5 70 78 8 "N"
9.5 70 82 12 "V"
-4.5 83 62 -21 "H"
3 71 80 9 "V"
-30.5 93 65 -28 "H"
-7.5 86 77 -9 "VN"
-15 76 61 -15 "VN"
-19.5 80 70 -10 "H"
12.5 89 97 8 "V1"
-8 82 62 -20 "H"
-8.5 69 67 -2 "H"
-12 63 50 -13 "V"
-10.5 51 56 5 "V"
-4 73 67 -6 "H"
6.5 76 78 2 "V"
-4.5 79 71 -8 "H"
-5.5 83 64 -19 "H"
6.5 70 79 9 "V"
-1 86 89 3 "V2"
-17.5 87 53 -34 "H"
4.5 87 82 -5 "V"
-18.5 86 66 -20 "H"
2 96 108 12 "H1"
4.5 69 86 17 "V"
-2.5 87 76 -11 "H"
-3 83 74 -9 "V"
-1.5 73 66 -7 "N"
6 73 88 15 "VN"
-1 76 58 -18 "N"
7.5 75 78 3 "VN"
16.5 70 100 30 "V"
7 88 90 2 "V1"
5 69 68 -1 "N"
6 44 66 22 "N"
5 58 76 18 "V"
-1.5 53 54 1 "H"
5 82 83 1 "H1"
-7 85 73 -12 "H"
-4.5 77 68 -9 "N"
1 62 59 -3 "N"
3.5 58 55 -3 "V"
2 52 68 16 "V"
-8 78 50 -28 "H"
-4 51 43 -8 "H"
7.5 57 68 11 "V"
3 47 73 26 "V"
-1.5 64 50 -14 "H"
-7.5 56 46 -10 "H"
-2 63 56 -7 "V"
-9.5 62 41 -21 "H"
-2 63 74 11 "H"
-6.5 81 71 -10 "H"
6 48 60 12 "V"
-4 75 70 -5 "H"
5 72 71 -1 "V"
4.5 64 66 2 "V"
-3 62 66 4 "H"
2 69 67 -2 "V"
-3 72 67 -5 "N"
1 58 57 -1 "N"
2 70 57 -13 "N"
1 68 55 -13 "N"
21.5 62 83 21 "N"
-20.5 74 55 -19 "H"
-3.5 64 67 3 "N"
-27 69 55 -14 "H"
-13 78 41 -37 "HN"
-8.5 73 59 -14 "N"
-27 70 57 -13 "H"
-12 84 78 -6 "HN"
-11 90 54 -36 "H"
-12.5 89 60 -29 "H"
-14.5 87 59 -28 "H"
5 74 66 -8 "V"
-13.5 69 62 -7 "H"
-12.5 97 89 -8 "H1"
-17 60 46 -14 "V"
-10.5 61 44 -17 "H"
-9 64 59 -5 "V"
-3.5 59 55 -4 "V"
-12.5 67 54 -13 "H"
-8 61 56 -5 "V"
-9.5 80 85 5 "H"
-17 55 62 7 "V"
-5 66 72 6 "V"
-7.5 83 62 -21 "H"
-14 73 47 -26 "H"
1 68 67 -1 "V2"
-23.5 74 48 -26 "H"
-2 108 96 -12 "V1"
-15.5 91 65 -26 "H"
-24 79 42 -37 "H"
-4 58 81 23 "V"
-20.5 91 63 -28 "HN"
-6 88 73 -15 "HN"
-5 70 54 -16 "N"
-20.5 64 57 -7 "HN"
-6.5 70 58 -12 "HN"
-2 85 87 2 "N1"
-20.5 85 52 -33 "H"
-23.5 79 55 -24 "H"
-24 87 26 -61 "H"
-8 66 63 -3 "N"
5.5 57 71 14 "N"
-7.5 65 62 -3 "V"
9.5 52 68 16 "VN"
10.5 67 61 -6 "HN"
-23 52 44 -8 "H"
-23 70 50 -20 "H"
-3 73 67 -6 "H"
-1 65 64 -1 "V"
-11.5 67 54 -13 "V"
-7 69 60 -9 "H"
3.5 55 59 4 "H"
4 67 73 6 "V"
-9 83 57 -26 "H"
2.5 52 50 -2 "V"
-11 68 59 -9 "V"
-6.5 79 70 -9 "H"
7.5 62 83 21 "V"
-4.5 81 61 -20 "H"
-10.5 71 61 -10 "H"
-3.5 81 69 -12 "V"
-18.5 75 55 -20 "H"
2.5 64 61 -3 "V"
-21 79 68 -11 "H"
5 70 76 6 "V"
-7.5 66 49 -17 "HN"
-1.5 68 57 -11 "HN"
5 54 70 16 "N"
-6 61 63 2 "N"
7.5 66 62 -4 "H1"
4.5 66 80 14 "H"
1.5 83 88 5 "H1"
4.5 74 60 -14 "V"
5 85 78 -7 "V1"
-2.5 50 62 12 "H"
9 55 62 7 "V"
-5.5 73 69 -4 "H"
-1.5 72 55 -17 "V"
-8 58 70 12 "H"
-4 61 47 -14 "V"
2.5 80 68 -12 "V"
3.5 67 71 4 "H"
-1.5 55 70 15 "V"
4 68 69 1 "H"
-6 65 67 2 "V"
-10 77 62 -15 "H"
5.5 76 82 6 "V"
-10.5 87 72 -15 "H"
-8 87 70 -17 "H"
10.5 75 78 3 "V1"
1 70 63 -7 "V"
-6.5 83 81 -2 "H1"
-3 78 58 -20 "V"
-8 69 61 -8 "H"
9 68 64 -4 "V"
-3.5 70 68 -2 "N"
5.5 59 62 3 "N"
-4.5 73 71 -2 "H"
4.5 59 73 14 "V"
-10.5 72 69 -3 "N"
4 68 75 7 "N"
-23.5 81 70 -11 "H"
1.5 50 64 14 "V"
-7 55 64 9 "H"
-27 88 56 -32 "H"
-24.5 74 46 -28 "H"
-20 82 54 -28 "H"
7.5 77 80 3 "V"
-27 90 38 -52 "H"
-12.5 60 58 -2 "V"
-14.5 71 83 12 "H"
-13 75 65 -10 "H"
-10 75 53 -22 "V"
-4 55 59 4 "V"
-15.5 75 70 -5 "H"
3 87 74 -13 "V"
-7 72 68 -4 "V1"
-17.5 77 55 -22 "H"
-17 72 62 -10 "H"
10.5 52 69 17 "V"
-2 58 88 30 "V"
-11 74 70 -4 "H"
-2 90 83 -7 "H1"
-19.5 85 55 -30 "H"
3 60 73 13 "V"
-2.5 62 72 10 "V"
5.5 61 57 -4 "H"
-6 48 64 16 "VN"
-3.5 57 59 2 "V"
-7 73 66 -7 "H"
-3.5 77 74 -3 "H1"
-3.5 63 52 -11 "V"
-9.5 82 57 -25 "HN"
-4.5 66 64 -2 "V"
-6 88 74 -14 "H"
-10.5 80 52 -28 "V"
6.5 59 76 17 "V"
-18.5 74 57 -17 "H"
1 65 74 9 "V"
-8.5 71 59 -12 "H"
-5.5 72 70 -2 "H"
-1 63 70 7 "V"
-2.5 54 53 -1 "H"
11.5 69 61 -8 "V"
-8.5 60 61 1 "H"
-2 80 71 -9 "V"
-18.5 89 53 -36 "H"
-4 69 66 -3 "V1"
-4 76 64 -12 "N"
1.5 74 82 8 "V"
-6.5 72 65 -7 "V"
-16.5 97 64 -33 "H"
-9 84 70 -14 "H"
7.5 54 78 24 "V"
1.5 58 69 11 "N"
1.5 80 71 -9 "N"
6 63 61 -2 "N"
4 76 74 -2 "N"
4.5 58 72 14 "N"
8.5 44 62 18 "V"
11 63 78 15 "H"
17.5 72 94 22 "V"
5 69 61 -8 "V"
2 73 70 -3 "V"
-4.5 59 64 5 "H"
21 53 84 31 "V"
21.5 55 89 34 "V"
14.5 70 89 19 "V"
-4.5 67 63 -4 "H"
1.5 73 79 6 "V"
1 77 70 -7 "V"
-7.5 78 69 -9 "H"
-7 76 72 -4 "H"
-7.5 91 82 -9 "V1"
2 81 71 -10 "V"
-4.5 81 59 -22 "H"
-10.5 57 55 -2 "H"
-6 50 48 -2 "H"
1.5 73 94 21 "V"
1.5 83 80 -3 "V"
-6 85 65 -20 "H"
-12.5 75 35 -40 "H"
-8 71 65 -6 "H"
-1.5 60 68 8 "H"
3 69 72 3 "V"
1.5 77 76 -1 "V"
5.5 51 71 20 "V"
-7.5 75 66 -9 "N"
-1 60 67 7 "N"
12.5 66 112 46 "V"
4 90 79 -11 "H"
12.5 57 63 6 "V"
11 57 79 22 "V"
23 60 63 3 "V"
7.5 58 72 14 "H"
8.5 80 76 -4 "V"
3.5 63 85 22 "V"
-3 91 79 -12 "H"
7 70 87 17 "V"
-5.5 79 70 -9 "H"
2 70 75 5 "V"
3.5 70 75 5 "V"
-2 89 91 2 "H2"
2.5 61 56 -5 "H"
8 49 72 23 "V"
17.5 60 82 22 "V"
-2 75 80 5 "H"
-1.5 105 74 -31 "H"
-1 52 71 19 "V"
-8.5 90 66 -24 "H"
6 64 88 24 "V"
-5.5 58 57 -1 "H"
-5 76 66 -10 "H"
-1.5 77 88 11 "H"
6 68 77 9 "V"
-3.5 71 63 -8 "V"
2.5 74 55 -19 "N"
15 66 81 15 "N"
24 51 85 34 "V"
17.5 52 68 16 "V"
10 54 65 11 "H"
12 58 83 25 "V"
25 48 63 15 "V"
19.5 69 76 7 "V"
5.5 65 64 -1 "H"
7 72 77 5 "H"
13 81 68 -13 "V"
4 55 64 9 "V"
14.5 57 66 9 "H"
13 56 71 15 "V"
16 39 63 24 "V"
-2 64 71 7 "H1"
9 71 76 5 "V"
10.5 73 76 3 "V"
5 60 70 10 "H"
8.5 66 90 24 "V"
4 85 73 -12 "H"
10.5 54 87 33 "H"
12.5 57 75 18 "V"
24.5 46 87 41 "V"
6.5 58 67 9 "H"
3.5 63 71 8 "H"
12 60 74 14 "N"
7.5 59 71 12 "V"
-6.5 70 52 -18 "H"
-9 70 46 -24 "N"
-2.5 67 63 -4 "N"
-6.5 71 63 -8 "V"
-17.5 68 52 -16 "H"
1 86 68 -18 "V"
-4 65 55 -10 "H"
-3 75 73 -2 "V"
-4 68 60 -8 "H"
-5.5 81 72 -9 "H"
-2.5 55 52 -3 "V"
-8.5 84 67 -17 "V"
-8.5 73 71 -2 "V"
-9 72 66 -6 "H"
-12 78 71 -7 "H"
-6.5 76 54 -22 "V"
-2.5 51 48 -3 "V"
-9.5 64 51 -13 "H"
-15 74 49 -25 "H"
-17.5 84 69 -15 "H"
-6.5 64 58 -6 "V"
-4 67 61 -6 "V"
-7 84 61 -23 "H"
-18 88 61 -27 "H"
2.5 60 78 18 "V"
8 54 78 24 "V"
-12 67 73 6 "N"
3.5 71 66 -5 "V"
7 52 63 11 "V"
-17.5 79 51 -28 "H"
-29.5 80 54 -26 "H"
-24.5 80 39 -41 "H"
-9 51 46 -5 "N"
-5.5 84 61 -23 "N"
-1.5 71 76 5 "N"
-12.5 69 66 -3 "H"
-10.5 80 38 -42 "V"
-29 99 47 -52 "H"
-4 87 78 -9 "V"
-27 79 55 -24 "H"
-22 78 55 -23 "N"
-7.5 80 77 -3 "H"
-18 80 62 -18 "H"
-10.5 73 58 -15 "V"
-18.5 64 38 -26 "H"
-6.5 73 58 -15 "V"
-7 68 70 2 "H"
-11.5 64 73 9 "VN"
-5 51 53 2 "V"
-6 64 61 -3 "H"
-10.5 70 51 -19 "H"
-11.5 68 48 -20 "V"
-5.5 101 104 3 "V5"
-17 72 58 -14 "H"
-13 59 41 -18 "V"
-19 79 61 -18 "H"
-15.5 79 58 -21 "V"
1.5 58 53 -5 "V"
-10.5 67 51 -16 "H"
-11.5 73 57 -16 "H"
-10 74 55 -19 "N"
-8.5 69 57 -12 "N"
-5.5 78 61 -17 "N"
-26 79 48 -31 "HN"
-10.5 82 56 -26 "HN"
-4 85 63 -22 "N"
-10 72 68 -4 "N"
-4 82 76 -6 "N"
-3 62 50 -12 "H"
-4.5 71 81 10 "N"
7.5 50 68 18 "V"
-13 62 46 -16 "N"
-6 53 46 -7 "V"
-5 81 78 -3 "H"
-13.5 77 50 -27 "H"
15.5 61 73 12 "V"
-8.5 59 51 -8 "H"
-1.5 54 49 -5 "V"
6.5 69 61 -8 "V"
8.5 63 54 -9 "V"
-5.5 66 68 2 "H"
4.5 45 58 13 "V"
-3.5 61 62 1 "H"
1.5 59 61 2 "V"
-2 67 55 -12 "V"
3.5 63 75 12 "H"
-12 76 65 -11 "H"
-2.5 65 73 8 "H"
4.5 59 62 3 "V"
4.5 59 60 1 "V"
-5 53 71 18 "V"
-4 69 60 -9 "H"
5.5 76 85 9 "H"
-1 63 70 7 "H"
13.5 75 76 1 "V"
-6 87 60 -27 "H"
2.5 60 62 2 "V"
2 58 73 15 "V"
4 66 75 9 "N"
-3.5 78 63 -15 "N"
-6 77 83 6 "V"
-2 70 73 3 "H"
-11 66 56 -10 "H"
-1.5 92 86 -6 "V1"
8.5 70 73 3 "H"
14.5 44 65 21 "V"
14.5 51 92 41 "V"
17.5 61 74 13 "V"
5.5 84 80 -4 "H"
-6 64 68 4 "H"
6.5 70 78 8 "V"
6.5 53 62 9 "V"
-5 57 60 3 "H"
15.5 43 88 45 "H"
-1 68 69 1 "H1"
2 60 69 9 "V"
24 55 74 19 "V"
3.5 50 52 2 "V"
13 50 61 11 "H"
1 59 61 2 "H"
8.5 60 63 3 "V"
13.5 56 79 23 "V"
8.5 70 73 3 "H"
-1.5 65 54 -11 "N"
5 61 60 -1 "N1"
10.5 60 58 -2 "N"
21 48 66 18 "N"
-9.5 77 63 -14 "H"
-5 72 67 -5 "H"
-19 80 67 -13 "H"
5.5 70 89 19 "V"
-1.5 66 60 -6 "V"
9.5 80 84 4 "V"
-1.5 63 68 5 "V"
10.5 52 74 22 "H"
-10 73 82 9 "H1"
2 58 67 9 "V"
-1 58 54 -4 "H"
15.5 70 75 5 "V"
4.5 73 70 -3 "H"
-4 69 68 -1 "V"
-5.5 57 56 -1 "H"
8.5 57 60 3 "V"
1 64 46 -18 "V"
-11.5 80 68 -12 "H"
7.5 72 82 10 "V"
-2 97 94 -3 "H3"
-1 65 60 -5 "H"
14 76 89 13 "V"
5 68 57 -11 "V"
-2 67 81 14 "H"
1.5 68 63 -5 "N"
16 58 80 22 "N"
-25.5 84 63 -21 "H"
-4 71 72 1 "N"
-15.5 89 62 -27 "N"
-5 72 64 -8 "N"
11 49 82 33 "V"
2.5 60 50 -10 "H"
-7 47 49 2 "V"
-9.5 84 80 -4 "H"
-5.5 82 76 -6 "H1"
-3 49 48 -1 "H"
10.5 74 67 -7 "V1"
-9.5 69 62 -7 "H"
7.5 69 71 2 "V1"
-8.5 81 71 -10 "H"
-11.5 63 50 -13 "H"
10.5 51 70 19 "V"
-4 70 47 -23 "V"
-14.5 89 78 -11 "H"
4.5 55 63 8 "V"
3 79 69 -10 "H"
-5.5 67 46 -21 "V"
2 56 60 4 "V"
1.5 74 71 -3 "H"
-5.5 72 64 -8 "H"
-6.5 60 54 -6 "V"
-7 69 67 -2 "V1"
-2.5 65 73 8 "N"
-3.5 59 58 -1 "N"
-1.5 74 72 -2 "N"
5.5 71 61 -10 "N"
4 39 55 16 "N"
4.5 68 80 12 "V"
0 77 78 1 "N"
-7.5 100 103 3 "V2"
-7.5 89 82 -7 "H"
-11.5 70 67 -3 "H"
-15 61 58 -3 "H"
5.5 59 69 10 "N"
12.5 56 72 16 "HN"
20 54 82 28 "V"
13 57 94 37 "V"
-5 79 61 -18 "H"
7 63 74 11 "V"
-4.5 77 56 -21 "H"
9.5 46 102 56 "V"
15.5 72 73 1 "V"
-5 57 68 11 "H"
-1.5 75 71 -4 "H"
4.5 75 91 16 "V"
4.5 61 75 14 "V"
-13 71 70 -1 "H"
10 59 71 12 "H"
7 82 70 -12 "V"
-2.5 48 52 4 "H"
3.5 76 103 27 "V"
6 88 84 -4 "H"
5 79 86 7 "V"
3 64 66 2 "N"
10.5 69 72 3 "N"
-14 67 45 -22 "H"
-17.5 70 53 -17 "H"
5 77 57 -20 "V"
-5.5 69 62 -7 "N"
-23 81 63 -18 "H"
-11.5 94 71 -23 "H"
-6.5 62 65 3 "H"
6 47 54 7 "V"
-2.5 51 50 -1 "H"
6 52 62 10 "V"
-8.5 64 59 -5 "H"
12.5 64 84 20 "V"
3 71 73 2 "V"
-10.5 86 60 -26 "H"
-4.5 60 55 -5 "V"
-2 69 80 11 "H"
4.5 83 81 -2 "H"
-1 58 69 11 "V"
-6 72 59 -13 "H"
1 68 78 10 "V"
-2 67 57 -10 "V"
1 68 79 11 "H"
8.5 58 61 3 "V1"
-5.5 75 62 -13 "N"
11 83 74 -9 "N"
4.5 76 79 3 "N"
-10.5 86 70 -16 "H"
-4.5 62 52 -10 "H"
3.5 58 57 -1 "V"
3 60 71 11 "N"
-9.5 67 64 -3 "H"
-8 77 75 -2 "N"
8 76 94 18 "N"
1.5 69 83 14 "N"
-7.5 64 63 -1 "V"
-1.5 62 75 13 "H"
-4 72 66 -6 "V"
-7.5 78 73 -5 "H1"
2 85 76 -9 "H"
-5.5 88 81 -7 "H"
-9.5 64 59 -5 "V"
-4 70 69 -1 "V"
-15 75 61 -14 "H"
10.5 62 70 8 "V"
-4.5 77 73 -4 "V"
-9.5 79 66 -13 "H"
-6.5 76 79 3 "H"
-3.5 70 65 -5 "H"
8.5 61 60 -1 "V"
1.5 65 66 1 "V"
-8 81 53 -28 "H"
-3.5 80 62 -18 "H"
12 68 86 18 "V"
-2.5 82 83 1 "H"
2.5 94 99 5 "V"
-4 76 66 -10 "H"
4 77 72 -5 "V"
-1.5 62 73 11 "H"
-3.5 75 66 -9 "V"
-3.5 77 72 -5 "N"
4.5 79 74 -5 "N"
8.5 62 71 9 "N"
-4.5 58 71 13 "H"
-25 65 54 -11 "H"
-1.5 65 78 13 "N"
3 75 84 9 "N"
-4 52 47 -5 "N"
-24 93 65 -28 "H"
-3 84 58 -26 "H"
-27 83 65 -18 "H"
4 78 87 9 "H"
-14 78 64 -14 "H"
2.5 85 80 -5 "V"
-15 67 54 -13 "H"
-7.5 69 53 -16 "V"
-19 77 51 -26 "V"
-11 60 50 -10 "H"
-14 71 60 -11 "H"
-15.5 73 72 -1 "H"
-8.5 75 68 -7 "V"
-15.5 94 64 -30 "H"
-9.5 60 52 -8 "V"
1.5 89 76 -13 "V"
-12.5 93 71 -22 "H"
-10 71 59 -12 "V"
-19 81 74 -7 "H"
-7 89 73 -16 "H"
-5 62 64 2 "V"
-7.5 76 67 -9 "V"
-3.5 56 54 -2 "V"
-14.5 86 71 -15 "H"
-11 81 68 -13 "N"
-12 85 74 -11 "VN"
-4.5 91 79 -12 "N2"
-1.5 54 52 -2 "N"
6 48 70 22 "VN"
-7 77 62 -15 "H"
-1.5 67 59 -8 "H"
1.5 75 62 -13 "V"
-7.5 77 46 -31 "H"
-4 72 50 -22 "V"
-10.5 73 58 -15 "V"
5.5 50 69 19 "N"
-8 55 57 2 "N1"
-6.5 76 59 -17 "H"
-2 62 49 -13 "V"
4 68 59 -9 "V"
-6 54 47 -7 "H"
-6.5 60 59 -1 "V"
3 90 63 -27 "H"
-9.5 71 47 -24 "H"
-9.5 73 64 -9 "V"
-1.5 79 78 -1 "V"
-13.5 72 50 -22 "H"
-7.5 87 61 -26 "H"
-5.5 74 68 -6 "V"
-6 45 43 -2 "V"
-8 54 50 -4 "H"
-8 65 80 15 "V"
-16.5 76 58 -18 "H"
7.5 76 79 3 "V"
-13 69 71 2 "H"
-13 62 49 -13 "H"
-9 69 58 -11 "N"
-2 81 71 -10 "N"
-2 87 77 -10 "N"
-14 78 49 -29 "N"
-8 63 59 -4 "N"
-5.5 61 71 10 "N"
20 59 97 38 "V"
24.5 39 80 41 "V"
6.5 72 59 -13 "V"
-5 76 58 -18 "H"
1 56 57 1 "V"
7.5 68 94 26 "V"
13.5 61 83 22 "V"
7.5 59 67 8 "V"
3 82 70 -12 "H"
4 69 70 1 "H"
-7.5 61 72 11 "H"
7 58 57 -1 "V"
-3 63 60 -3 "H"
1.5 58 65 7 "V"
9 62 74 12 "H"
-6.5 62 82 20 "H"
3 68 72 4 "H"
3.5 70 61 -9 "V"
6.5 64 65 1 "V"
10 50 54 4 "H"
8 70 87 17 "V"
-1.5 71 79 8 "H"
8.5 68 74 6 "V1"
6.5 44 52 8 "V"
3 58 78 20 "H"
16.5 58 72 14 "V"
16.5 54 58 4 "V"
7 63 52 -11 "V"
-2 47 58 11 "N"
-19 91 54 -37 "H"
-15.5 77 47 -30 "H"
-3 67 62 -5 "N"
-5.5 71 57 -14 "N"
-6 79 72 -7 "H"
-12 74 66 -8 "V"
-21.5 73 41 -32 "H"
-15 80 67 -13 "H"
-37 67 39 -28 "H"
-10.5 81 66 -15 "N"
-24.5 93 54 -39 "H"
-26.5 88 73 -15 "H"
-10 94 66 -28 "V"
-13.5 95 67 -28 "H"
-21.5 62 47 -15 "H"
1.5 53 56 3 "V"
2.5 83 75 -8 "V"
-14.5 68 53 -15 "H"
-6 74 60 -14 "V"
-16 68 46 -22 "H"
5.5 73 81 8 "V"
-7.5 76 74 -2 "H1"
-2 62 65 3 "V1"
-1.5 52 75 23 "V"
-22 79 71 -8 "H"
-9.5 71 58 -13 "H"
-12.5 78 84 6 "V"
-5 58 57 -1 "H"
-6.5 80 75 -5 "V"
-1.5 71 72 1 "H"
-14 83 66 -17 "N"
-2.5 59 68 9 "N"
-11 71 56 -15 "HN"
-3.5 78 53 -25 "HN"
2 87 85 -2 "N1"
3.5 79 59 -20 "N"
-2 61 56 -5 "N"
4 76 82 6 "N"
-8 62 66 4 "N"
3.5 67 64 -3 "N"
-15.5 74 70 -4 "H"
-17.5 70 52 -18 "H"
-23 63 60 -3 "H"
1.5 59 67 8 "V"
-30.5 76 44 -32 "H"
-15.5 73 61 -12 "H"
-12 64 53 -11 "V"
-11.5 67 56 -11 "H"
6.5 63 76 13 "V"
-11.5 84 61 -23 "H"
-2 62 59 -3 "V"
-18 66 56 -10 "H"
-11 81 72 -9 "V"
-1.5 59 56 -3 "H"
5 49 47 -2 "V"
9.5 70 75 5 "V"
-8.5 80 75 -5 "H"
-4 61 50 -11 "H"
-4 78 65 -13 "V"
1.5 75 52 -23 "H"
-9.5 73 64 -9 "V"
-1.5 68 72 4 "H"
3 60 68 8 "V"
5 57 58 1 "V"
-5 58 43 -15 "H"
-18 71 61 -10 "H"
-5.5 59 56 -3 "N"
1.5 58 61 3 "N"
-10.5 65 54 -11 "HN"
-6 70 48 -22 "HN"
2 61 71 10 "N"
10 45 66 21 "VN"
3.5 75 61 -14 "V"
-7.5 72 58 -14 "V"
4 77 82 5 "V1"
-12 84 64 -20 "H"
-3.5 65 62 -3 "H"
2.5 49 64 15 "V"
-12.5 77 48 -29 "H"
-6 56 52 -4 "VN"
-16.5 69 52 -17 "H"
-14 75 57 -18 "H"
-4 60 66 6 "V1"
-7.5 60 56 -4 "V"
-16.5 62 52 -10 "H"
-14.5 66 57 -9 "V"
-15 82 50 -32 "H"
-17.5 82 60 -22 "H"
-9 72 64 -8 "V"
-13 72 53 -19 "H"
-8.5 66 64 -2 "V"
-11.5 73 56 -17 "V"
-11 73 60 -13 "H"
-17.5 93 41 -52 "H"
-8.5 66 61 -5 "V"
-14.5 85 50 -35 "H"
-24.5 87 46 -41 "H"
-12 66 56 -10 "V"
-6.5 70 62 -8 "V"
-15 81 66 -15 "N"
-13 57 61 4 "N"
3 54 67 13 "N"
-20.5 82 56 -26 "H"
-17 72 43 -29 "H"
-10.5 72 57 -15 "H"
4 71 89 18 "N"
-3 84 75 -9 "N"
-5.5 66 63 -3 "N"
3 77 68 -9 "V"
-15.5 88 64 -24 "H"
-7.5 71 57 -14 "V"
-14.5 70 57 -13 "H"
-30 75 50 -25 "H"
-6.5 76 63 -13 "H"
-17 69 51 -18 "H"
-2 84 67 -17 "V"
7.5 81 88 7 "V"
-2.5 75 83 8 "H"
-8.5 48 55 7 "V"
3.5 44 45 1 "V"
-18 84 65 -19 "H"
-10 62 59 -3 "H"
4 50 61 11 "V"
-9.5 53 57 4 "H"
-5.5 58 53 -5 "H1"
-1 51 72 21 "V"
6 45 71 26 "V"
5 77 73 -4 "H"
-16.5 73 44 -29 "H"
-8 51 53 2 "V"
-3 73 89 16 "V"
-2.5 49 51 2 "N"
-3.5 83 63 -20 "N"
8 64 78 14 "N"
-18 92 52 -40 "H"
-9.5 80 67 -13 "H"
3.5 62 65 3 "V"
-8.5 73 70 -3 "V"
-9 85 87 2 "N1"
-8.5 85 78 -7 "N"
-8 81 66 -15 "V"
-20 95 68 -27 "H"
2 92 74 -18 "V"
-5 64 49 -15 "H"
-8.5 89 79 -10 "V1"
-8.5 76 64 -12 "H"
-8.5 62 56 -6 "H"
-7 63 61 -2 "V"
-3 74 87 13 "H"
17.5 64 78 14 "V"
-17 93 75 -18 "H"
6.5 79 98 19 "V"
-1 67 69 2 "V"
-11 84 74 -10 "H1"
-6 62 63 1 "V"
-12.5 88 55 -33 "H"
-8.5 82 73 -9 "H"
-12 67 73 6 "V"
-5.5 87 83 -4 "H"
2 81 67 -14 "V"
4.5 64 62 -2 "N"
-4 64 52 -12 "VN"
